election_date,anc,name
2010-11-02,1C06,Steve Lanning
2012-11-06,1C04,Gabriela Mossi
2012-11-06,1C05,Elham Dehbozorgi
2012-11-06,1C06,William (Billy) Simpson
1979-11-06,1C07,No candidate
1979-11-06,1C08,No candidate
1979-11-06,1C09,"Edward G. Jackson, Sr."
1981-11-03,1C07,Harry J. Quintana
1981-11-03,1C08,Nancy Lou Shia
1981-11-03,1C09,"Edward G. Jackson, Sr."
1984-11-06,1C07,"Edward G. Jackson, Sr."
1984-11-06,1C08,"Ezekiel C. Mobley, Jr."
1984-11-06,1C09,B. Harold V. Smith
1986-11-04,1C07,"Edward G. Jackson, Sr."
1986-11-04,1C08,William H. Dent
1986-11-04,1C09,B. Harold V. Smith
1988-11-08,1C07,Nancy Hildebrand
1988-11-08,1C08,Peter Lyden
1988-11-08,1C09,Ruth Long
1990-11-06,1C07,"Edward G. Jackson, Sr."
1990-11-06,1C08,David A. Rossi
1990-11-06,1C09,Ruth Long
1992-11-03,1C07,"Edward G. Jackson, Sr."
1992-11-03,1C08,William (Bill) Arrington Ruth Long
1994-11-08,1C07,"Edward G. Jackson, Sr."
1994-11-08,1C08,Peter M. Williams
1994-11-08,1C09,Ruth Long
1996-11-05,1C07,Carolyn Llorente
1996-11-05,1C08,James Coleman
1996-11-05,1C09,Aaron Mindel
1998-11-03,1C07,Carolyn Llorente
1998-11-03,1C08,Eric Letsinger
1998-11-03,1C09,Wayne Richard Mason
2000-11-07,1C07,Josh Gibson
2000-11-07,1C08,Daniel R. Brody
2000-11-07,1C09,Peter L. Klempay
2002-11-05,1C07,Josh Gibson
2002-11-05,1C08,Jeff Coudriet
2004-11-02,1C07,Josh Gibson
2004-11-02,1C08,Lynn A. Taylor
2006-11-07,1C07,Wilson Reynolds
2006-11-07,1C08,Kathie Boettrich
2008-11-04,1C07,Wilson Reynolds
2008-11-04,1C08,Kathie Boettrich
2010-11-02,1C07,Wilson Reynolds
2010-11-02,1C08,Kathie Boettrich
2012-11-06,1C07,Wilson Reynolds
2012-11-06,1C08,Jimmy R. Rock
1979-11-06,1C10,No candidate
1979-11-06,1C11,Durstine W. McClintick
1979-11-06,1C12,No candidate
1981-11-03,1C10,Elaine Piccini
1981-11-03,1C11,O'Bryant Kenner
1981-11-03,1C12,Robin J. Erdmann
1984-11-06,1C10,O'Bryant Kenner
1986-11-04,1C10,William E. Arrington
1988-11-08,1C10,William E. Arrington
1990-11-06,1C10,William E. Arrington
1979-11-06,1D01,No candidate
1979-11-06,1D02,Elaine Dym
1981-11-03,1D01,"Charles T. Vetter, Jr."
1981-11-03,1D02,Elaine Dym
1984-11-06,1D01,Chuck Dynes
1984-11-06,1D02,Myra Ann Singer
1986-11-04,1D01,Jean Lindley
1986-11-04,1D02,Harold K. Washburn
1988-11-08,1D01,Jean Lindley
1988-11-08,1D02,Ronnie Ann Wainwright
1990-11-06,1D01,Judith R. Brunton
1990-11-06,1D02,"C. (Breck) Arrington, Jr."
1992-11-03,1D01,Carol A. Dalton
1992-11-03,1D02,Marie Drissel
1994-11-08,1D01,Kathleen M. Early
1994-11-08,1D02,Bob Hirshberg
1996-11-05,1D01,David A. Catania
1996-11-05,1D02,Linda Bumbalo
1998-11-03,1D01,Lance P. Salonia
1998-11-03,1D02,Linda Bumbalo
2000-11-07,1D01,Lance P. Salonia
2000-11-07,1D02,Marlis Carter
2002-11-05,1D01,Barbara BiTonda
2002-11-05,1D02,Will Grant
2002-11-05,1D03,Jack McKay
2004-11-02,1D01,Wayne Kahn
2004-11-02,1D02,Devenia Roberts
2004-11-02,1D03,Jack McKay
2006-11-07,1D01,Jane Zara
2006-11-07,1D02,Joe Anthony Esparza
2006-11-07,1D03,Jack McKay
2008-11-04,1D01,Phil A. Lepanto
2008-11-04,1D02,Oliver Tunda
2008-11-04,1D03,Jack McKay
2010-11-02,1D01,Yasmin Romero Castillo Laura Wilson Phelan
2010-11-02,1D02,Jack McKay
2012-11-06,1D01,Yasmin Romero Castillo Adam Hoey
2012-11-06,1D02,Jack McKay
2002-11-05,1D04,No candidate
2002-11-05,1D05,Peter Muller
2002-11-05,1D06,Dominic K. Sale
2004-11-02,1D04,Gregg Edwards
2004-11-02,1D05,"Richard A. Wysocki, Jr."
2004-11-02,1D06,Dominic K. Sale
2006-11-07,1D04,Gregg Edwards
2006-11-07,1D05,David Bosserman
2006-11-07,1D06,Angelia D. Scott
2008-11-04,1D04,Gregg Edwards
2008-11-04,1D05,David Bosserman
2008-11-04,1D06,Angelia D. Scott
2010-11-02,1D04,Gregg Edwards
2010-11-02,1D05,China Terrell
2010-11-02,1D06,Angelia D. Scott
2012-11-06,1D04,Phil Greiner
2012-11-06,1D05,China Terrell
1979-11-06,1E01,No candidate
1979-11-06,1E02,No candidate
1979-11-06,1E03,No candidate
1981-11-03,1E01,No candidate
1981-11-03,1E02,No candidate
1981-11-03,1E03,Linda Low
1984-11-06,1E01,Matthew Reiss
1984-11-06,1E02,Edward F. Grandi
1984-11-06,1E03,Alex Ackmann
1986-11-04,1E01,Ken Fealing
1986-11-04,1E02,Sharon G. Goldzweig
1986-11-04,1E03,Alex Ackmann
1988-11-08,1E01,Ken Fealing
1988-11-08,1E02,Art Cobb
1988-11-08,1E03,Judy Fredette
1990-11-06,1E01,Ken Fealing
1990-11-06,1E02,Clifton Williams
1990-11-06,1E03,Judy Fredette
1992-11-03,1E01,Ken Fealing
1992-11-03,1E02,Patricia M. Sosa
1992-11-03,1E03,Judy Fredette
